timeString,timestamp,waitTimeString,waitTime,address,name
20201029 12:51 PM,2020-10-29T19:51Z,25 Min,25,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201029 12:47 PM,2020-10-29T19:47Z,20 Min,20,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 12:52 PM,2020-10-29T19:52Z,15 Min,15,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 12:56 PM,2020-10-29T19:56Z,20 Min,20,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 12:52 PM,2020-10-29T19:52Z,45 Min,45,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 12:46 PM,2020-10-29T19:46Z,30 Min,30,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 01:20 PM,2020-10-29T20:20Z,25 Min,25,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201029 01:06 PM,2020-10-29T20:06Z,25 Min,25,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 01:21 PM,2020-10-29T20:21Z,15 Min,15,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 01:21 PM,2020-10-29T20:21Z,20 Min,20,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 01:20 PM,2020-10-29T20:20Z,15 Min,15,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 01:21 PM,2020-10-29T20:21Z,45 Min,45,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 01:20 PM,2020-10-29T20:20Z,10 Min,10,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 01:17 PM,2020-10-29T20:17Z,1 Hr,60,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201029 02:04 PM,2020-10-29T21:04Z,15 Min,15,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201029 02:04 PM,2020-10-29T21:04Z,30 Min,30,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 02:04 PM,2020-10-29T21:04Z,45 Min,45,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 02:05 PM,2020-10-29T21:05Z,15 Min,15,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 02:05 PM,2020-10-29T21:05Z,20 Min,20,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201029 02:06 PM,2020-10-29T21:06Z,15 Min,15,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201029 02:09 PM,2020-10-29T21:09Z,25 Min,25,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201029 02:09 PM,2020-10-29T21:09Z,30 Min,30,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 02:07 PM,2020-10-29T21:07Z,30 Min,30,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 02:11 PM,2020-10-29T21:11Z,30 Min,30,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 02:57 PM,2020-10-29T21:57Z,20 Min,20,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201029 02:58 PM,2020-10-29T21:58Z,20 Min,20,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 03:21 PM,2020-10-29T22:21Z,45 Min,45,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 03:26 PM,2020-10-29T22:26Z,45 Min,45,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 03:32 PM,2020-10-29T22:32Z,20 Min,20,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201029 03:40 PM,2020-10-29T22:40Z,25 Min,25,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201029 04:04 PM,2020-10-29T23:04Z,15 Min,15,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 03:33 PM,2020-10-29T22:33Z,45 Min,45,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 03:56 PM,2020-10-29T22:56Z,20 Min,20,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 03:33 PM,2020-10-29T22:33Z,25 Min,25,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 03:33 PM,2020-10-29T22:33Z,30 Min,30,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 03:32 PM,2020-10-29T22:32Z,30 Min,30,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 03:59 PM,2020-10-29T22:59Z,1 Hr 30 Min,90,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201029 04:08 PM,2020-10-29T23:08Z,10 Min,10,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201029 04:10 PM,2020-10-29T23:10Z,40 Min,40,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 04:52 PM,2020-10-29T23:52Z,25 Min,25,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 05:04 PM,2020-10-30T00:04Z,1 Hr,60,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201029 05:25 PM,2020-10-30T00:25Z,20 Min,20,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 05:09 PM,2020-10-30T00:09Z,35 Min,35,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 05:36 PM,2020-10-30T00:36Z,30 Min,30,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201029 05:44 PM,2020-10-30T00:44Z,35 Min,35,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 05:36 PM,2020-10-30T00:36Z,30 Min,30,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 05:56 PM,2020-10-30T00:56Z,30 Min,30,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 05:37 PM,2020-10-30T00:37Z,25 Min,25,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 05:42 PM,2020-10-30T00:42Z,1 Hr,60,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 05:41 PM,2020-10-30T00:41Z,40 Min,40,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 05:37 PM,2020-10-30T00:37Z,1 Hr,60,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201029 06:26 PM,2020-10-30T01:26Z,50 Min,50,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 06:13 PM,2020-10-30T01:13Z,15 Min,15,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 06:18 PM,2020-10-30T01:18Z,30 Min,30,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 06:06 PM,2020-10-30T01:06Z,1 Hr 10 Min,70,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 07:10 AM,2020-10-30T14:10Z,No wait,0,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 07:10 AM,2020-10-30T14:10Z,No wait,0,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 07:10 AM,2020-10-30T14:10Z,No wait,0,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 07:10 AM,2020-10-30T14:10Z,No wait,0,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 07:10 AM,2020-10-30T14:10Z,No wait,0,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 07:10 AM,2020-10-30T14:10Z,No wait,0,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 07:10 AM,2020-10-30T14:10Z,No wait,0,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 07:07 AM,2020-10-30T14:07Z,20 Min,20,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 07:23 AM,2020-10-30T14:23Z,50 Min,50,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 07:23 AM,2020-10-30T14:23Z,15 Min,15,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 07:23 AM,2020-10-30T14:23Z,50 Min,50,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 07:23 AM,2020-10-30T14:23Z,1 Hr 30 Min,90,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 07:23 AM,2020-10-30T14:23Z,30 Min,30,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 07:23 AM,2020-10-30T14:23Z,45 Min,45,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 07:23 AM,2020-10-30T14:23Z,20 Min,20,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 08:05 AM,2020-10-30T15:05Z,No wait,0,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 07:50 AM,2020-10-30T14:50Z,45 Min,45,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 07:40 AM,2020-10-30T14:40Z,1 Hr 30 Min,90,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 08:00 AM,2020-10-30T15:00Z,35 Min,35,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 07:29 AM,2020-10-30T14:29Z,45 Min,45,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 08:09 AM,2020-10-30T15:09Z,30 Min,30,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 08:13 AM,2020-10-30T15:13Z,30 Min,30,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 08:14 AM,2020-10-30T15:14Z,15 Min,15,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 08:11 AM,2020-10-30T15:11Z,15 Min,15,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 09:01 AM,2020-10-30T16:01Z,20 Min,20,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 08:55 AM,2020-10-30T15:55Z,30 Min,30,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 09:06 AM,2020-10-30T16:06Z,20 Min,20,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 09:01 AM,2020-10-30T16:01Z,15 Min,15,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 08:55 AM,2020-10-30T15:55Z,10 Min,10,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 08:44 AM,2020-10-30T15:44Z,20 Min,20,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 09:03 AM,2020-10-30T16:03Z,1 Hr,60,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 09:01 AM,2020-10-30T16:01Z,40 Min,40,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 08:54 AM,2020-10-30T15:54Z,1 Hr,60,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 09:10 AM,2020-10-30T16:10Z,30 Min,30,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 09:17 AM,2020-10-30T16:17Z,10 Min,10,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 09:18 AM,2020-10-30T16:18Z,20 Min,20,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 09:17 AM,2020-10-30T16:17Z,1 Hr,60,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 09:55 AM,2020-10-30T16:55Z,20 Min,20,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 09:58 AM,2020-10-30T16:58Z,20 Min,20,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 09:58 AM,2020-10-30T16:58Z,30 Min,30,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 10:03 AM,2020-10-30T17:03Z,1 Hr 20 Min,80,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 10:01 AM,2020-10-30T17:01Z,40 Min,40,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 10:07 AM,2020-10-30T17:07Z,20 Min,20,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 10:07 AM,2020-10-30T17:07Z,10 Min,10,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 10:06 AM,2020-10-30T17:06Z,20 Min,20,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 10:22 AM,2020-10-30T17:22Z,1 Hr,60,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 10:17 AM,2020-10-30T17:17Z,1 Hr 30 Min,90,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 10:11 AM,2020-10-30T17:11Z,30 Min,30,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 10:09 AM,2020-10-30T17:09Z,1 Hr 20 Min,80,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 10:07 AM,2020-10-30T17:07Z,40 Min,40,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 10:10 AM,2020-10-30T17:10Z,1 Hr 30 Min,90,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 10:52 AM,2020-10-30T17:52Z,20 Min,20,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 11:06 AM,2020-10-30T18:06Z,20 Min,20,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 10:57 AM,2020-10-30T17:57Z,45 Min,45,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 11:15 AM,2020-10-30T18:15Z,20 Min,20,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 11:16 AM,2020-10-30T18:16Z,30 Min,30,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 11:16 AM,2020-10-30T18:16Z,20 Min,20,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 11:15 AM,2020-10-30T18:15Z,1 Hr,60,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 11:16 AM,2020-10-30T18:16Z,40 Min,40,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 11:15 AM,2020-10-30T18:15Z,45 Min,45,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 11:16 AM,2020-10-30T18:16Z,1 Hr 30 Min,90,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 12:06 PM,2020-10-30T19:06Z,45 Min,45,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 12:06 PM,2020-10-30T19:06Z,45 Min,45,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 11:56 AM,2020-10-30T18:56Z,30 Min,30,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 12:21 PM,2020-10-30T19:21Z,30 Min,30,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 12:28 PM,2020-10-30T19:28Z,30 Min,30,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 12:57 PM,2020-10-30T19:57Z,1 Hr 15 Min,75,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 12:32 PM,2020-10-30T19:32Z,1 Hr 15 Min,75,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 12:28 PM,2020-10-30T19:28Z,45 Min,45,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 12:28 PM,2020-10-30T19:28Z,30 Min,30,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 12:28 PM,2020-10-30T19:28Z,30 Min,30,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 12:28 PM,2020-10-30T19:28Z,45 Min,45,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 01:00 PM,2020-10-30T20:00Z,20 Min,20,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 12:28 PM,2020-10-30T19:28Z,1 Hr,60,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 01:02 PM,2020-10-30T20:02Z,1 Hr 30 Min,90,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 01:01 PM,2020-10-30T20:01Z,2 Hrs,120,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 01:12 PM,2020-10-30T20:12Z,1 Hr 30 Min,90,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 01:23 PM,2020-10-30T20:23Z,1 Hr 15 Min,75,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 02:09 PM,2020-10-30T21:09Z,1 Hr 15 Min,75,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 01:58 PM,2020-10-30T20:58Z,1 Hr 30 Min,90,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 02:09 PM,2020-10-30T21:09Z,1 Hr 30 Min,90,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 02:08 PM,2020-10-30T21:08Z,1 Hr,60,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 02:26 PM,2020-10-30T21:26Z,1 Hr 30 Min,90,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 02:12 PM,2020-10-30T21:12Z,1 Hr 30 Min,90,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 02:29 PM,2020-10-30T21:29Z,1 Hr,60,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 02:27 PM,2020-10-30T21:27Z,40 Min,40,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 02:27 PM,2020-10-30T21:27Z,30 Min,30,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 02:27 PM,2020-10-30T21:27Z,1 Hr 30 Min,90,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 02:56 PM,2020-10-30T21:56Z,45 Min,45,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 03:10 PM,2020-10-30T22:10Z,1 Hr 40 Min,100,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 02:54 PM,2020-10-30T21:54Z,45 Min,45,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 02:54 PM,2020-10-30T21:54Z,1 Hr,60,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 02:46 PM,2020-10-30T21:46Z,45 Min,45,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 02:58 PM,2020-10-30T21:58Z,50 Min,50,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 02:58 PM,2020-10-30T21:58Z,1 Hr,60,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 02:57 PM,2020-10-30T21:57Z,1 Hr 30 Min,90,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 03:15 PM,2020-10-30T22:15Z,1 Hr 15 Min,75,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 03:18 PM,2020-10-30T22:18Z,1 Hr 40 Min,100,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 03:17 PM,2020-10-30T22:17Z,2 Hrs,120,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 03:23 PM,2020-10-30T22:23Z,1 Hr,60,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 03:17 PM,2020-10-30T22:17Z,1 Hr 10 Min,70,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 03:23 PM,2020-10-30T22:23Z,50 Min,50,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 03:38 PM,2020-10-30T22:38Z,2 Hrs,120,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 04:08 PM,2020-10-30T23:08Z,1 Hr,60,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201030 04:10 PM,2020-10-30T23:10Z,2 Hrs,120,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 04:01 PM,2020-10-30T23:01Z,1 Hr 30 Min,90,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 05:04 PM,2020-10-31T00:04Z,1 Hr 15 Min,75,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 04:55 PM,2020-10-30T23:55Z,1 Hr 40 Min,100,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 05:06 PM,2020-10-31T00:06Z,1 Hr 35 Min,95,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 05:06 PM,2020-10-31T00:06Z,1 Hr 15 Min,75,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 05:21 PM,2020-10-31T00:21Z,1 Hr,60,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 05:08 PM,2020-10-31T00:08Z,2 Hrs,120,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 05:07 PM,2020-10-31T00:07Z,2 Hrs 20 Min,140,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 05:08 PM,2020-10-31T00:08Z,1 Hr,60,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 05:07 PM,2020-10-31T00:07Z,1 Hr 40 Min,100,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 05:07 PM,2020-10-31T00:07Z,1 Hr 30 Min,90,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 05:21 PM,2020-10-31T00:21Z,1 Hr 30 Min,90,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201030 06:11 PM,2020-10-31T01:11Z,1 Hr 30 Min,90,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201030 06:10 PM,2020-10-31T01:10Z,1 Hr,60,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201030 06:10 PM,2020-10-31T01:10Z,1 Hr 30 Min,90,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201030 06:09 PM,2020-10-31T01:09Z,2 Hrs,120,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201030 06:11 PM,2020-10-31T01:11Z,1 Hr,60,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201030 06:10 PM,2020-10-31T01:10Z,1 Hr 30 Min,90,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201030 06:09 PM,2020-10-31T01:09Z,1 Hr,60,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201030 06:10 PM,2020-10-31T01:10Z,1 Hr 30 Min,90,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building